node_id,x_enu_m,y_enu_m,z_enu_m,origin_lat,origin_lon,origin_height
0,0.0,0.0,20.0,45.9324,6.735993,0.0
1,-18.01947550797053,-18.90313753004913,21.0,45.9324,6.735993,0.0
2,-35.80694060174159,-37.806275059390934,22.0,45.9324,6.735993,0.0
3,-53.59440569545116,-56.70941258873275,23.0,45.9324,6.735993,0.0
4,-71.38187078916071,-75.61255011878187,24.0,45.9324,6.735993,0.0
5,-89.16933588287029,-94.51568764812367,25.0,45.9324,6.735993,0.0
6,-106.95680097664135,-113.41882517817281,27.0,45.9324,6.735993,0.0
7,-124.74426607035089,-132.32196270751461,28.0,45.9324,6.735993,0.0
8,-142.53173116412196,-151.22510023685643,29.0,45.9324,6.735993,0.0
9,-160.31919625777002,-170.12823776690556,31.0,45.9324,6.735993,0.0
10,-178.1066613515411,-189.03137529624735,33.0,45.9324,6.735993,0.0
11,-194.34739035011606,-207.9345128262965,35.0,45.9324,6.735993,0.0
12,-208.2680152061429,-226.837650354931,36.0,45.9324,6.735993,0.0
13,-219.8685359193756,-245.74078788427278,38.0,45.9324,6.735993,0.0
14,-227.60221639492553,-264.6439254143219,40.0,45.9324,6.735993,0.0
15,-229.92232053759668,-283.5470629436637,42.0,45.9324,6.735993,0.0
16,-227.60221639492553,-302.45020047371287,44.0,45.9324,6.735993,0.0
17,-222.18864006204672,-321.35333800305466,46.0,45.9324,6.735993,0.0
18,-216.00169568163136,-340.25647553239645,48.0,45.9324,6.735993,0.0
19,-209.814751301216,-359.1596130624456,50.0,45.9324,6.735993,0.0
20,-204.40117496833716,-378.0627505917874,52.0,45.9324,6.735993,0.0
21,-200.53433473059292,-396.96588812183654,53.0,45.9324,6.735993,0.0
22,-198.2142305879218,-415.86902565117833,55.0,45.9324,6.735993,0.0
23,-196.6674944927872,-434.7721631812275,56.0,45.9324,6.735993,0.0
24,-195.12075839771413,-453.6753007105693,58.0,45.9324,6.735993,0.0
25,-194.34739035011606,-472.57843823920376,59.0,45.9324,6.735993,0.0
26,-193.57402230257952,-491.4815757692529,60.0,45.9324,6.735993,0.0
27,-192.80065425504299,-510.3847132985947,61.0,45.9324,6.735993,0.0
28,-195.89412644525066,-529.2878508286439,62.0,45.9324,6.735993,0.0
