Range	40.0dB	-107.0dBm
Fixed unit	1	Unit    1	 45.93240	 006.73599	706.4
Fixed unit	2	Unit    2	 45.93178	 006.73506	706.5
Fixed unit	3	Unit    3	 45.93116	 006.73413	637.1
Fixed unit	4	Unit    4	 45.93054	 006.73320	629.2
Fixed unit	5	Unit    5	 45.92992	 006.73300	625.3
Fixed unit	6	Unit    6	 45.92920	 006.73320	620.3
Fixed unit	7	Unit    7	 45.92840	 006.73340	618.7
Fixed unit	8	Unit    8	 45.92760	 006.73350	636.8
Fixed unit	9	Unit    9	 45.92680	 006.73320	645.3
Fixed unit	10	Unit   10	 45.92600	 006.73270	640.0
Mobile unit	11	Unit   11	 45.92520	 006.73220	642.4
Fixed unit	12	Unit   12	 45.92430	 006.73160	645.0
Fixed unit	13	Unit   13	 45.92340	 006.73090	625.0
Fixed unit	14	Unit   14	 45.92250	 006.73020	610.1
Fixed unit	15	Unit   15	 45.92160	 006.72950	602.0
Fixed unit	16	Unit   16	 45.92070	 006.72890	598.0
Fixed unit	17	Unit   17	 45.91990	 006.72830	597.2
Fixed unit	18	Unit   18	 45.91930	 006.72780	596.0
Fixed unit	19	Unit   19	 45.91900	 006.72740	595.8
Fixed unit	20	Unit   20	 45.91880	 006.72700	595.0
Fixed unit	21	Unit   21	 45.91870	 006.72680	594.6
Fixed unit	22	Unit   22	 45.91865	 006.72660	594.0
Fixed unit	23	Unit   23	 45.91862	 006.72645	594.0
Fixed unit	24	Unit   24	 45.91860	 006.72630	594.0
Fixed unit	25	Unit   25	 45.91880	 006.72620	594.3
Latitude	Longitude	Rx(dB)	Best unit
 46.01389	 006.45382	-105.0	0
 46.01389	 006.45529	-105.3	0
 46.01389	 006.45675	-105.3	0
 46.01388	 006.45822	-105.1	0
 46.01388	 006.45968	-106.3	0
 46.01388	 006.46115	-107.4	0
 46.01388	 006.46261	-108.1	0
 46.01389	 006.46408	-108.5	0
 46.01389	 006.46554	-108.2	0
 46.01388	 006.46701	-107.4	0
 46.01389	 006.46847	-108.1	0
 46.01388	 006.46994	-106.9	0
 46.01389	 006.47140	-106.6	0
 46.01388	 006.47287	-108.8	0
 46.01388	 006.47433	-108.3	0
 46.01388	 006.47580	-113.0	0
 46.01389	 006.47726	-106.7	0
 46.01388	 006.47873	-104.5	0
 46.01389	 006.48019	-113.6	0
 46.01388	 006.48166	-111.8	0
 46.01388	 006.48312	-108.9	0
 46.01389	 006.48459	-110.5	0
 46.01389	 006.48605	-111.6	0
 46.01389	 006.48752	-112.0	0
 46.01388	 006.48898	-102.8	0
 46.01388	 006.49045	-065.3	0
 46.01389	 006.49191	-082.0	0
 46.01388	 006.49338	-083.6	0
 46.01389	 006.49484	-084.0	0
 46.01389	 006.49631	-085.3	0
 46.01389	 006.49777	-087.0	0
 46.01389	 006.49924	-088.9	0
 46.01388	 006.50070	-090.7	0
 46.01388	 006.50217	-091.7	0
 46.01389	 006.50363	-091.9	0
 46.01388	 006.50510	-091.9	0
 46.01389	 006.50656	-093.0	0
 46.01388	 006.50803	-093.6	0
 46.01388	 006.50949	-093.9	0
 46.01389	 006.51096	-094.7	0
 46.01389	 006.51242	-095.6	0
 46.01389	 006.51389	-096.3	0
 46.01389	 006.51535	-096.6	0
 46.01388	 006.51682	-096.8	0
 46.01388	 006.51828	-097.1	0
 46.01388	 006.51975	-097.2	0
 46.01388	 006.52121	-098.2	0
 46.01389	 006.52268	-099.0	0
 46.01388	 006.52414	-099.8	0
 46.01389	 006.52561	-100.4	0
 46.01389	 006.52707	-102.0	0
 46.01389	 006.52854	-103.5	0
 46.01389	 006.53000	-104.9	0
 46.01388	 006.53147	-105.7	0
 46.01388	 006.53293	-105.0	0
 46.01388	 006.53440	-106.1	0
 46.01388	 006.53586	-107.0	0
 46.01389	 006.53733	-106.7	0
 46.01388	 006.53879	-105.9	0
 46.01388	 006.54026	-105.2	0
 46.01389	 006.54173	-105.0	0
 46.01389	 006.54319	-104.6	0
 46.01388	 006.54466	-107.3	0
 46.01389	 006.54612	-107.7	0
 46.01388	 006.54759	-108.3	0
 46.01389	 006.54905	-108.5	0
 46.01388	 006.55052	-108.6	0
 46.01389	 006.55198	-108.3	0
 46.01389	 006.55345	-096.3	0
 46.01388	 006.55491	-107.5	0
 46.01389	 006.55638	-107.9	0
 46.01388	 006.55784	-108.7	0
 46.01388	 006.55931	-108.9	0
 46.01389	 006.56077	-109.7	0
 46.01388	 006.56224	-110.4	0
 46.01389	 006.56370	-108.9	0
 46.01388	 006.56517	-105.3	0
 46.01389	 006.56663	-104.4	0
 46.01389	 006.56810	-105.3	0
 46.01389	 006.56956	-104.0	0
 46.01388	 006.57103	-092.1	0
 46.01389	 006.57249	-095.7	0
 46.01388	 006.57396	-083.8	0
 46.01388	 006.57542	-094.2	0
 46.01388	 006.57689	-090.8	0
 46.01388	 006.57835	-086.1	0
 46.01389	 006.57982	-083.6	0
 46.01389	 006.58128	-089.3	0
 46.01389	 006.58275	-089.5	0
 46.01389	 006.58421	-090.2	0
 46.01388	 006.58568	-091.3	0
 46.01389	 006.58714	-093.6	0
 46.01388	 006.58861	-094.3	0
 46.01388	 006.59007	-094.8	0
 46.01389	 006.59154	-095.5	0
 46.01388	 006.59300	-097.1	0
 46.01389	 006.59447	-098.3	0
 46.01388	 006.59593	-099.1	0
 46.01388	 006.59740	-099.9	0
 46.01389	 006.59886	-100.6	0
 46.01389	 006.60033	-101.8	0
 46.01388	 006.60179	-103.2	0
 46.01389	 006.60326	-105.1	0
 46.01388	 006.60472	-106.2	0
 46.01388	 006.60619	-107.1	0
 46.01388	 006.60765	-108.8	0
 46.01389	 006.60912	-109.0	0
 46.01389	 006.61058	-110.0	0
 46.01388	 006.61205	-110.0	0
 46.01389	 006.61351	-110.7	0
 46.01388	 006.61498	-111.4	0
 46.01388	 006.61644	-113.9	0
 46.01389	 006.61791	-113.5	0
 46.01388	 006.61937	-112.0	0
 46.01388	 006.62084	-109.6	0
 46.01388	 006.62230	-109.7	0
 46.01388	 006.62377	-108.5	0
 46.01389	 006.62524	-108.1	0
 46.01388	 006.62670	-108.7	0
 46.01388	 006.62817	-106.0	0
 46.01389	 006.62963	-103.7	0
 46.01388	 006.63109	-102.8	0
 46.01388	 006.63256	-101.9	0
 46.01388	 006.63403	-099.5	0
 46.01388	 006.63549	-104.3	0
 46.01389	 006.63696	-106.5	0
 46.01388	 006.63842	-106.1	0
 46.01388	 006.63989	-103.7	0
 46.01389	 006.64135	-101.9	0
 46.01388	 006.64282	-102.5	0
 46.01389	 006.64428	-103.2	0
 46.01389	 006.64575	-100.3	0
 46.01388	 006.64721	-098.0	0
 46.01389	 006.64868	-098.7	0
 46.01389	 006.65014	-099.5	0
 46.01389	 006.65161	-099.2	0
 46.01388	 006.65307	-099.3	0
 46.01388	 006.65454	-101.4	0
 46.01389	 006.65600	-102.2	0
 46.01388	 006.65747	-102.0	0
 46.01388	 006.65893	-101.1	0
 46.01389	 006.66040	-100.7	0
 46.01388	 006.66186	-101.4	0
 46.01388	 006.66333	-101.1	0
 46.01388	 006.66479	-099.6	0
 46.01389	 006.66626	-098.5	0
 46.01389	 006.66772	-095.2	0
 46.01388	 006.66919	-085.0	0
 46.01389	 006.67065	-082.2	0
 46.01389	 006.67212	-078.8	0
 46.01388	 006.67358	-079.6	0
 46.01389	 006.67505	-085.3	0
 46.01388	 006.67651	-098.5	0
 46.01388	 006.67798	-081.1	1
 46.01389	 006.67944	-086.3	0
 46.01389	 006.68091	-085.6	0
 46.01389	 006.68237	-086.8	0
 46.01388	 006.68384	-082.2	0
 46.01388	 006.68530	-082.1	0
 46.01389	 006.68677	-081.2	0
 46.01388	 006.68823	-071.6	0
 46.01388	 006.68970	-096.4	0
 46.01389	 006.69116	-095.4	0
 46.01388	 006.69263	-094.6	0
 46.01388	 006.69409	-077.2	0
 46.01388	 006.69556	-094.0	0
 46.01389	 006.69702	-094.7	0
 46.01389	 006.69849	-095.4	0
 46.01388	 006.69995	-095.8	0
 46.01389	 006.70142	-095.7	0
 46.01389	 006.70288	-085.5	0
 46.01388	 006.70435	-088.2	0
 46.01389	 006.70581	-087.6	0
 46.01389	 006.70728	-092.9	0
 46.01388	 006.70874	-073.0	0
 46.01388	 006.71021	-077.3	0
 46.01389	 006.71168	-082.7	0
 46.01389	 006.71314	-090.0	0
 46.01388	 006.71460	-089.9	0
 46.01388	 006.71607	-094.2	0
 46.01389	 006.71754	-095.5	0
 46.01388	 006.71900	-097.0	0
 46.01388	 006.72047	-098.0	0
 46.01389	 006.72193	-099.9	0
 46.01388	 006.72340	-099.1	0
 46.01388	 006.72486	-091.8	0
 46.01388	 006.72633	-088.2	0
 46.01389	 006.72779	-091.9	0
 46.01389	 006.72926	-095.3	0
 46.01388	 006.73072	-095.7	0
 46.01389	 006.73219	-095.1	0
 46.01388	 006.73365	-096.1	0
 46.01388	 006.73512	-096.6	0
 46.01389	 006.73658	-096.0	0
 46.01388	 006.73805	-092.2	0
 46.01389	 006.73951	-093.3	0
 46.01389	 006.74098	-092.4	0
