node_id,latitude,longitude,height_m
0,45.9324,6.735993,20
1,45.93178,6.73506,25
2,45.93116,6.73413,30
3,45.93054,6.7332,36
4,45.92992,6.733,42
5,45.9292,6.7332,48
6,45.9284,6.7334,53
7,45.9276,6.7335,58
8,45.9268,6.7332,61
9,45.926,6.7327,64
10,45.9252,6.7322,65
11,45.9243,6.7316,66
12,45.9234,6.7309,65
13,45.9225,6.7302,64
14,45.9216,6.7295,61
15,45.9207,6.7289,58
16,45.9199,6.7283,53
17,45.9193,6.7278,48
18,45.919,6.7274,42
19,45.9188,6.727,36
20,45.9187,6.7268,30
21,45.91865,6.7266,26
22,45.91862,6.72645,23
23,45.9186,6.7263,21
24,45.9188,6.726205,20
