Range	40.0dB	-107.0dBm
Fixed unit	1	Unit    1	 45.93240	 006.73599	707.0
Fixed unit	2	Unit    2	 45.93205	 006.73552	715.3
Fixed unit	3	Unit    3	 45.93170	 006.73505	704.4
Fixed unit	4	Unit    4	 45.93135	 006.73458	666.9
Fixed unit	5	Unit    5	 45.93100	 006.73411	632.5
Fixed unit	6	Unit    6	 45.93065	 006.73364	625.7
Fixed unit	7	Unit    7	 45.93030	 006.73325	624.7
Fixed unit	8	Unit    8	 45.92995	 006.73305	623.7
Fixed unit	9	Unit    9	 45.92960	 006.73310	621.9
Fixed unit	10	Unit   10	 45.92925	 006.73320	620.1
Fixed unit	11	Unit   11	 45.92890	 006.73330	619.0
Fixed unit	12	Unit   12	 45.92855	 006.73340	619.9
Fixed unit	13	Unit   13	 45.92820	 006.73345	625.6
Fixed unit	14	Unit   14	 45.92785	 006.73348	634.3
Fixed unit	15	Unit   15	 45.92750	 006.73350	645.3
Fixed unit	16	Unit   16	 45.92715	 006.73340	652.2
Fixed unit	17	Unit   17	 45.92680	 006.73320	650.2
Fixed unit	18	Unit   18	 45.92645	 006.73295	646.5
Fixed unit	19	Unit   19	 45.92610	 006.73270	642.2
Fixed unit	20	Unit   20	 45.92575	 006.73245	639.5
Fixed unit	21	Unit   21	 45.92540	 006.73220	640.7
Mobile unit	22	Unit   22	 45.92500	 006.73190	640.9
Fixed unit	23	Unit   23	 45.92460	 006.73160	640.8
Fixed unit	24	Unit   24	 45.92420	 006.73125	636.3
Fixed unit	25	Unit   25	 45.92380	 006.73090	624.9
Fixed unit	26	Unit   26	 45.92340	 006.73060	615.0
Fixed unit	27	Unit   27	 45.92300	 006.73030	611.9
Fixed unit	28	Unit   28	 45.92260	 006.73000	608.5
Fixed unit	29	Unit   29	 45.92220	 006.72970	604.2
Fixed unit	30	Unit   30	 45.92180	 006.72940	602.0
Fixed unit	31	Unit   31	 45.92140	 006.72910	600.7
Fixed unit	32	Unit   32	 45.92100	 006.72880	598.7
Fixed unit	33	Unit   33	 45.92060	 006.72850	598.0
Fixed unit	34	Unit   34	 45.92020	 006.72820	597.0
Fixed unit	35	Unit   35	 45.91980	 006.72790	596.9
Fixed unit	36	Unit   36	 45.91950	 006.72770	596.3
Fixed unit	37	Unit   37	 45.91930	 006.72750	596.0
Fixed unit	38	Unit   38	 45.91915	 006.72730	595.7
Fixed unit	39	Unit   39	 45.91900	 006.72710	595.0
Fixed unit	40	Unit   40	 45.91890	 006.72695	595.0
Fixed unit	41	Unit   41	 45.91880	 006.72680	594.9
Fixed unit	42	Unit   42	 45.91872	 006.72670	594.4
Fixed unit	43	Unit   43	 45.91866	 006.72660	594.1
Fixed unit	44	Unit   44	 45.91863	 006.72652	594.0
Fixed unit	45	Unit   45	 45.91861	 006.72645	594.0
Fixed unit	46	Unit   46	 45.91860	 006.72638	594.0
Fixed unit	47	Unit   47	 45.91859	 006.72632	594.0
Fixed unit	48	Unit   48	 45.91858	 006.72628	594.0
Fixed unit	49	Unit   49	 45.91858	 006.72624	594.0
Fixed unit	50	Unit   50	 45.91880	 006.72620	594.0
Latitude	Longitude	Rx(dB)	Best unit
 46.01298	 006.45283	-107.6	0
 46.01298	 006.45429	-107.9	0
 46.01298	 006.45576	-108.3	0
 46.01298	 006.45722	-108.5	0
 46.01299	 006.45869	-108.3	0
 46.01299	 006.46015	-108.2	0
 46.01299	 006.46162	-108.7	0
 46.01299	 006.46308	-109.4	0
 46.01298	 006.46455	-109.6	0
 46.01298	 006.46601	-109.6	0
 46.01298	 006.46748	-109.0	0
 46.01298	 006.46894	-108.7	0
 46.01299	 006.47041	-108.1	0
 46.01299	 006.47187	-106.9	0
 46.01299	 006.47334	-104.4	0
 46.01299	 006.47480	-102.5	0
 46.01298	 006.47627	-101.7	0
 46.01299	 006.47773	-111.5	0
 46.01298	 006.47920	-112.1	0
 46.01298	 006.48066	-103.9	0
 46.01299	 006.48213	-111.9	0
 46.01299	 006.48359	-109.3	0
 46.01299	 006.48506	-104.8	0
 46.01299	 006.48652	-104.6	0
 46.01299	 006.48799	-101.4	0
 46.01299	 006.48945	-079.7	0
 46.01299	 006.49092	-081.7	0
 46.01298	 006.49238	-084.3	0
 46.01298	 006.49385	-085.3	0
 46.01298	 006.49531	-085.8	0
 46.01298	 006.49678	-086.8	0
 46.01299	 006.49824	-087.9	0
 46.01299	 006.49971	-089.6	0
 46.01299	 006.50117	-091.2	0
 46.01298	 006.50264	-092.6	0
 46.01299	 006.50410	-093.4	0
 46.01299	 006.50557	-093.7	0
 46.01298	 006.50703	-094.2	0
 46.01298	 006.50850	-095.1	0
 46.01298	 006.50996	-095.4	0
 46.01299	 006.51143	-095.6	0
 46.01298	 006.51289	-095.8	0
 46.01299	 006.51436	-096.3	0
 46.01298	 006.51582	-096.8	0
 46.01299	 006.51729	-097.4	0
 46.01298	 006.51875	-097.8	0
 46.01299	 006.52022	-098.4	0
 46.01298	 006.52168	-099.5	0
 46.01298	 006.52315	-100.3	0
 46.01299	 006.52461	-101.1	0
 46.01299	 006.52608	-101.3	0
 46.01299	 006.52754	-102.7	0
 46.01298	 006.52901	-104.0	0
 46.01299	 006.53047	-105.2	0
 46.01299	 006.53194	-106.4	0
 46.01298	 006.53340	-106.2	0
 46.01298	 006.53487	-106.0	0
 46.01298	 006.53633	-106.5	0
 46.01299	 006.53780	-106.1	0
 46.01298	 006.53926	-105.3	0
 46.01299	 006.54073	-097.7	0
 46.01299	 006.54219	-105.5	0
 46.01298	 006.54366	-105.4	0
 46.01299	 006.54512	-106.9	0
 46.01299	 006.54659	-107.4	0
 46.01299	 006.54805	-107.8	0
 46.01298	 006.54952	-108.3	0
 46.01299	 006.55098	-108.2	0
 46.01299	 006.55245	-107.9	0
 46.01298	 006.55391	-108.5	0
 46.01299	 006.55538	-108.0	0
 46.01299	 006.55684	-107.3	0
 46.01299	 006.55831	-107.5	0
 46.01298	 006.55977	-107.8	0
 46.01299	 006.56124	-109.1	0
 46.01299	 006.56270	-109.9	0
 46.01298	 006.56417	-109.3	0
 46.01299	 006.56563	-107.0	0
 46.01299	 006.56710	-102.4	0
 46.01299	 006.56856	-103.3	0
 46.01298	 006.57003	-104.4	0
 46.01299	 006.57150	-094.1	0
 46.01298	 006.57296	-099.6	0
