time_s,node_id,x_m,y_m,z_m,initial_energy_J,remaining_energy_J,consumed_energy_J,sf
3600,0,0,0,35,10000,9999.653,0.347,7
3600,1,24.492,-51.9321,37.399,10000,9999.4,0.6,7
3600,2,48.9841,-103.8642,39.698,10000,9999.722,0.278,7
3600,3,73.4761,-155.7962,41.8971,10000,9999.331,0.669,7
3600,4,97.9681,-207.7283,43.9963,10000,9999.885,0.115,7
3600,5,245.6358,-518.9486,54.4919,10000,9999.238,0.762,7
3600,6,274.0942,-568.8177,55.8913,10000,9999.4,0.6,7
3600,7,302.5525,-618.6867,57.1908,10000,9999.33,0.67,7
3600,8,331.0109,-668.5558,58.3903,10000,9999.861,0.139,7
3600,9,359.4693,-718.4248,59.4898,10000,9998.7,1.3,8
3600,10,530.2194,-1017.6391,63.9879,10000,9999.861,0.139,7
3600,11,558.6778,-1067.5081,64.3878,10000,9999.354,0.646,7
3600,12,587.1362,-1117.3772,64.6876,10000,9999.584,0.416,7
3600,13,609.7704,-1170.0712,64.8875,10000,9999.4,0.6,7
3600,14,631.3161,-1223.2932,64.9875,10000,9999.723,0.277,7
3600,15,760.5897,-1542.6255,63.4881,10000,9999.56,0.44,7
3600,16,782.1354,-1595.8476,62.8884,10000,9999.607,0.393,7
3600,17,803.681,-1649.0697,62.1887,10000,9999.63,0.37,7
3600,18,825.2266,-1702.2917,61.389,10000,9999.4,0.6,7
3600,19,846.7722,-1755.5138,60.4894,10000,9998.7,1.3,8
3600,20,1000.3162,-2366.5972,43.9963,10000,9999.723,0.277,7
3600,21,1012.3696,-2422.7356,41.8971,10000,9999.838,0.162,7
3600,22,1024.423,-2478.8739,39.698,10000,9999.815,0.185,7
3600,23,1036.4764,-2535.0123,37.399,10000,9999.422,0.578,7
3600,24,1048.5297,-2591.1507,35,10000,9999.723,0.277,7
7200,0,0,0,35,10000,9999.445,0.555,7
7200,1,24.492,-51.9321,37.399,10000,9998.8,1.2,7
7200,2,48.9841,-103.8642,39.698,10000,9999.467,0.533,7
7200,3,73.4761,-155.7962,41.8971,10000,9998.57,1.43,7
7200,4,97.9681,-207.7283,43.9963,10000,9999.769,0.231,7
7200,5,245.6358,-518.9486,54.4919,10000,9998.477,1.523,7
7200,6,274.0942,-568.8177,55.8913,10000,9998.8,1.2,7
7200,7,302.5525,-618.6867,57.1908,10000,9998.661,1.339,7
7200,8,331.0109,-668.5558,58.3903,10000,9999.746,0.254,7
7200,9,359.4693,-718.4248,59.4898,10000,9997.401,2.599,8
7200,10,530.2194,-1017.6391,63.9879,10000,9999.746,0.254,7
7200,11,558.6778,-1067.5081,64.3878,10000,9998.707,1.293,7
7200,12,587.1362,-1117.3772,64.6876,10000,9999.167,0.833,7
7200,13,609.7704,-1170.0712,64.8875,10000,9998.8,1.2,7
7200,14,631.3161,-1223.2932,64.9875,10000,9999.446,0.554,7
7200,15,760.5897,-1542.6255,63.4881,10000,9999.121,0.879,7
7200,16,782.1354,-1595.8476,62.8884,10000,9999.214,0.786,7
7200,17,803.681,-1649.0697,62.1887,10000,9999.26,0.74,7
7200,18,825.2266,-1702.2917,61.389,10000,9998.777,1.223,7
7200,19,846.7722,-1755.5138,60.4894,10000,9997.401,2.599,8
7200,20,1000.3162,-2366.5972,43.9963,10000,9999.446,0.554,7
7200,21,1012.3696,-2422.7356,41.8971,10000,9999.676,0.324,7
7200,22,1024.423,-2478.8739,39.698,10000,9999.63,0.37,7
7200,23,1036.4764,-2535.0123,37.399,10000,9998.727,1.273,7
7200,24,1048.5297,-2591.1507,35,10000,9999.446,0.554,7
10800,0,0,0,35,10000,9999.098,0.902,7
