time_s,node_id,x_m,y_m,z_m,initial_energy_J,remaining_energy_J,consumed_energy_J,sf
3600.000,0,0.0000,0.0000,35.0000,10000.000,9999.792,0.208,7
3600.000,1,24.4920,-51.9321,37.3990,10000.000,9999.238,0.762,7
3600.000,2,48.9841,-103.8642,39.6980,10000.000,9999.699,0.301,7
3600.000,3,73.4761,-155.7962,41.8971,10000.000,9999.331,0.669,7
3600.000,4,97.9681,-207.7283,43.9963,10000.000,9999.885,0.115,7
3600.000,5,245.6358,-518.9486,54.4919,10000.000,9999.238,0.762,7
3600.000,6,274.0942,-568.8177,55.8913,10000.000,9999.238,0.762,7
3600.000,7,302.5525,-618.6867,57.1908,10000.000,9999.238,0.762,7
3600.000,8,331.0109,-668.5558,58.3903,10000.000,9999.885,0.115,7
3600.000,9,359.4693,-718.4248,59.4898,10000.000,9998.700,1.300,8
3600.000,10,530.2194,-1017.6391,63.9879,10000.000,9999.885,0.115,7
3600.000,11,558.6778,-1067.5081,64.3878,10000.000,9999.238,0.762,7
3600.000,12,587.1362,-1117.3772,64.6876,10000.000,9999.792,0.208,7
3600.000,13,609.7704,-1170.0712,64.8875,10000.000,9999.238,0.762,7
3600.000,14,631.3161,-1223.2932,64.9875,10000.000,9999.885,0.115,7
3600.000,15,760.5897,-1542.6255,63.4881,10000.000,9999.885,0.115,7
3600.000,16,782.1354,-1595.8476,62.8884,10000.000,9999.699,0.301,7
3600.000,17,803.6810,-1649.0697,62.1887,10000.000,9999.885,0.115,7
3600.000,18,825.2266,-1702.2917,61.3890,10000.000,9999.238,0.762,7
3600.000,19,846.7722,-1755.5138,60.4894,10000.000,9998.700,1.300,8
3600.000,20,1000.3162,-2366.5972,43.9963,10000.000,9999.885,0.115,7
3600.000,21,1012.3696,-2422.7356,41.8971,10000.000,9999.885,0.115,7
3600.000,22,1024.4230,-2478.8739,39.6980,10000.000,9999.885,0.115,7
3600.000,23,1036.4764,-2535.0123,37.3990,10000.000,9999.444,0.556,7
3600.000,24,1048.5297,-2591.1507,35.0000,10000.000,9999.885,0.115,7
7200.000,0,0.0000,0.0000,35.0000,10000.000,9999.445,0.555,7
7200.000,1,24.4920,-51.9321,37.3990,10000.000,9998.477,1.523,7
7200.000,2,48.9841,-103.8642,39.6980,10000.000,9999.397,0.603,7
7200.000,3,73.4761,-155.7962,41.8971,10000.000,9998.570,1.430,7
7200.000,4,97.9681,-207.7283,43.9963,10000.000,9999.769,0.231,7
7200.000,5,245.6358,-518.9486,54.4919,10000.000,9998.477,1.523,7
7200.000,6,274.0942,-568.8177,55.8913,10000.000,9998.477,1.523,7
7200.000,7,302.5525,-618.6867,57.1908,10000.000,9998.477,1.523,7
7200.000,8,331.0109,-668.5558,58.3903,10000.000,9999.746,0.254,7
7200.000,9,359.4693,-718.4248,59.4898,10000.000,9997.401,2.599,8
7200.000,10,530.2194,-1017.6391,63.9879,10000.000,9999.700,0.300,7
7200.000,11,558.6778,-1067.5081,64.3878,10000.000,9998.592,1.408,7
7200.000,12,587.1362,-1117.3772,64.6876,10000.000,9999.514,0.486,7
7200.000,13,609.7704,-1170.0712,64.8875,10000.000,9998.638,1.362,7
7200.000,14,631.3161,-1223.2932,64.9875,10000.000,9999.769,0.231,7
7200.000,15,760.5897,-1542.6255,63.4881,10000.000,9999.607,0.393,7
7200.000,16,782.1354,-1595.8476,62.8884,10000.000,9999.421,0.579,7
7200.000,17,803.6810,-1649.0697,62.1887,10000.000,9999.676,0.324,7
7200.000,18,825.2266,-1702.2917,61.3890,10000.000,9998.638,1.362,7
7200.000,19,846.7722,-1755.5138,60.4894,10000.000,9997.401,2.599,8
7200.000,20,1000.3162,-2366.5972,43.9963,10000.000,9999.608,0.392,7
7200.000,21,1012.3696,-2422.7356,41.8971,10000.000,9999.723,0.277,7
7200.000,22,1024.4230,-2478.8739,39.6980,10000.000,9999.700,0.300,7
7200.000,23,1036.4764,-2535.0123,37.3990,10000.000,9998.771,1.229,7
7200.000,24,1048.5297,-2591.1507,35.0000,10000.000,9999.608,0.392,7
10800.000,0,0.0000,0.0000,35.0000,10000.000,9999.098,0.902,7
10800.000,1,24.4920,-51.9321,37.3990,10000.000,9997.877,2.123,7
10800.000,2,48.9841,-103.8642,39.6980,10000.000,9998.980,1.020,7
10800.000,3,73.4761,-155.7962,41.8971,10000.000,9997.808,2.192,7
10800.000,4,97.9681,-207.7283,43.9963,10000.000,9999.654,0.346,7
10800.000,5,245.6358,-518.9486,54.4919,10000.000,9997.715,2.285,7
10800.000,6,274.0942,-568.8177,55.8913,10000.000,9997.877,2.123,7
10800.000,7,302.5525,-618.6867,57.1908,10000.000,9997.807,2.193,7
10800.000,8,331.0109,-668.5558,58.3903,10000.000,9999.631,0.369,7
10800.000,9,359.4693,-718.4248,59.4898,10000.000,9996.101,3.899,8
10800.000,10,530.2194,-1017.6391,63.9879,10000.000,9999.561,0.439,7
10800.000,11,558.6778,-1067.5081,64.3878,10000.000,9997.830,2.170,7
10800.000,12,587.1362,-1117.3772,64.6876,10000.000,9999.167,0.833,7
10800.000,13,609.7704,-1170.0712,64.8875,10000.000,9997.877,2.123,7
10800.000,14,631.3161,-1223.2932,64.9875,10000.000,9999.492,0.508,7
10800.000,15,760.5897,-1542.6255,63.4881,10000.000,9999.330,0.670,7
10800.000,16,782.1354,-1595.8476,62.8884,10000.000,9999.004,0.996,7
10800.000,17,803.6810,-1649.0697,62.1887,10000.000,9999.399,0.601,7
10800.000,18,825.2266,-1702.2917,61.3890,10000.000,9997.877,2.123,7
10800.000,19,846.7722,-1755.5138,60.4894,10000.000,9996.101,3.899,8
10800.000,20,1000.3162,-2366.5972,43.9963,10000.000,9999.492,0.508,7
10800.000,21,1012.3696,-2422.7356,41.8971,10000.000,9999.607,0.393,7
10800.000,22,1024.4230,-2478.8739,39.6980,10000.000,9999.584,0.416,7
10800.000,23,1036.4764,-2535.0123,37.3990,10000.000,9998.076,1.924,7
10800.000,24,1048.5297,-2591.1507,35.0000,10000.000,9999.492,0.508,7
14400.000,0,0.0000,0.0000,35.0000,10000.000,9998.844,1.156,7
14400.000,1,24.4920,-51.9321,37.3990,10000.000,9997.439,2.561,7
14400.000,2,48.9841,-103.8642,39.6980,10000.000,9998.725,1.275,7
14400.000,3,73.4761,-155.7962,41.8971,10000.000,9997.047,2.953,7
14400.000,4,97.9681,-207.7283,43.9963,10000.000,9999.539,0.461,7
14400.000,5,245.6358,-518.9486,54.4919,10000.000,9996.954,3.046,7
14400.000,6,274.0942,-568.8177,55.8913,10000.000,9997.439,2.561,7
14400.000,7,302.5525,-618.6867,57.1908,10000.000,9997.229,2.771,7
14400.000,8,331.0109,-668.5558,58.3903,10000.000,9999.492,0.508,7
14400.000,9,359.4693,-718.4248,59.4898,10000.000,9994.802,5.198,8
14400.000,10,530.2194,-1017.6391,63.9879,10000.000,9999.446,0.554,7
14400.000,11,558.6778,-1067.5081,64.3878,10000.000,9997.184,2.816,7
14400.000,12,587.1362,-1117.3772,64.6876,10000.000,9998.612,1.388,7
14400.000,13,609.7704,-1170.0712,64.8875,10000.000,9997.277,2.723,7
14400.000,14,631.3161,-1223.2932,64.9875,10000.000,9999.054,0.946,7
14400.000,15,760.5897,-1542.6255,63.4881,10000.000,9998.729,1.271,7
14400.000,16,782.1354,-1595.8476,62.8884,10000.000,9998.496,1.504,7
14400.000,17,803.6810,-1649.0697,62.1887,10000.000,9998.868,1.132,7
14400.000,18,825.2266,-1702.2917,61.3890,10000.000,9997.277,2.723,7
14400.000,19,846.7722,-1755.5138,60.4894,10000.000,9994.802,5.198,8
14400.000,20,1000.3162,-2366.5972,43.9963,10000.000,9999.215,0.785,7
14400.000,21,1012.3696,-2422.7356,41.8971,10000.000,9999.446,0.554,7
14400.000,22,1024.4230,-2478.8739,39.6980,10000.000,9999.399,0.601,7
14400.000,23,1036.4764,-2535.0123,37.3990,10000.000,9997.381,2.619,7
14400.000,24,1048.5297,-2591.1507,35.0000,10000.000,9999.215,0.785,7
18000.000,0,0.0000,0.0000,35.0000,10000.000,9998.589,1.411,7
18000.000,1,24.4920,-51.9321,37.3990,10000.000,9997.000,3.000,7
18000.000,2,48.9841,-103.8642,39.6980,10000.000,9998.191,1.809,7
18000.000,3,73.4761,-155.7962,41.8971,10000.000,9996.285,3.715,7
18000.000,4,97.9681,-207.7283,43.9963,10000.000,9999.423,0.577,7
18000.000,5,245.6358,-518.9486,54.4919,10000.000,9996.192,3.808,7
18000.000,6,274.0942,-568.8177,55.8913,10000.000,9997.000,3.000,7
18000.000,7,302.5525,-618.6867,57.1908,10000.000,9996.651,3.349,7
18000.000,8,331.0109,-668.5558,58.3903,10000.000,9999.377,0.623,7
18000.000,9,359.4693,-718.4248,59.4898,10000.000,9993.502,6.498,8
18000.000,10,530.2194,-1017.6391,63.9879,10000.000,9999.330,0.670,7
18000.000,11,558.6778,-1067.5081,64.3878,10000.000,9996.538,3.462,7
18000.000,12,587.1362,-1117.3772,64.6876,10000.000,9998.058,1.942,7
18000.000,13,609.7704,-1170.0712,64.8875,10000.000,9996.677,3.323,7
