Range	40.0dB	-107.0dBm
Fixed unit	1	Unit    1	 47.29242	-002.17603	4.5
Fixed unit	2	Unit    2	 47.29195	-002.17570	2.2
Fixed unit	3	Unit    3	 47.29149	-002.17538	1.0
Fixed unit	4	Unit    4	 47.29102	-002.17505	1.0
Fixed unit	11	Unit   11	 47.28775	-002.17277	-0.3
Fixed unit	12	Unit   12	 47.28731	-002.17239	0.0
Fixed unit	13	Unit   13	 47.28686	-002.17202	0.0
Fixed unit	14	Unit   14	 47.28641	-002.17164	0.0
Fixed unit	21	Unit   21	 47.28327	-002.16900	0.0
Mobile unit	22	Unit   22	 47.28282	-002.16862	0.0
Fixed unit	23	Unit   23	 47.28237	-002.16824	0.0
Fixed unit	24	Unit   24	 47.28190	-002.16794	0.0
Fixed unit	31	Unit   31	 47.27855	-002.16594	0.0
Fixed unit	32	Unit   32	 47.27807	-002.16566	0.0
Fixed unit	33	Unit   33	 47.27759	-002.16537	0.0
Fixed unit	34	Unit   34	 47.27711	-002.16509	0.0
Fixed unit	46	Unit   46	 47.27114	-002.16276	0.0
Fixed unit	47	Unit   47	 47.27013	-002.16244	0.0
Fixed unit	48	Unit   48	 47.27013	-002.16244	0.0
Fixed unit	49	Unit   49	 47.26962	-002.16228	0.0
Fixed unit	50	Unit   50	 47.26912	-002.16213	0.8
Latitude	Longitude	Rx(dB)	Best unit
 47.33568	-002.33633	-025.7	0
 47.33568	-002.33555	-025.6	0
 47.33568	-002.33477	-026.9	0
 47.33568	-002.33399	-031.9	0
 47.33568	-002.33321	-038.0	0
 47.33567	-002.33243	-037.9	1
 47.33568	-002.33165	-031.2	0
 47.33567	-002.33087	-021.3	0
 47.33568	-002.33009	-021.0	0
 47.33568	-002.32931	-020.3	0
 47.33568	-002.32853	-019.8	0
 47.33568	-002.32775	-020.2	0
 47.33567	-002.32697	-021.1	0
 47.33568	-002.32619	-025.1	0
 47.33567	-002.32541	-027.9	0
 47.33568	-002.32463	-028.3	0
 47.33568	-002.32385	-028.1	0
 47.33568	-002.32307	-027.8	0
 47.33568	-002.32229	-028.1	0
 47.33568	-002.32151	-028.8	0
 47.33568	-002.32072	-029.5	0
 47.33567	-002.31994	-030.3	0
 47.33568	-002.31916	-029.3	0
 47.33568	-002.31838	-032.2	0
 47.33568	-002.31760	-033.5	0
 47.33568	-002.31682	-033.1	0
 47.33568	-002.31604	-035.8	0
 47.33567	-002.31526	-035.8	0
 47.33568	-002.31448	-035.9	0
 47.33568	-002.31370	-036.0	0
 47.33568	-002.31292	-034.7	0
 47.33568	-002.31214	-038.0	0
 47.33568	-002.31136	-039.7	0
 47.33568	-002.31058	-039.1	0
 47.33567	-002.30980	-037.4	0
 47.33568	-002.30902	-037.5	0
 47.33568	-002.30824	-036.8	0
 47.33568	-002.30746	-036.1	0
 47.33568	-002.30668	-035.2	0
 47.33568	-002.30590	-034.6	0
 47.33568	-002.30512	-033.3	0
 47.33568	-002.30434	-035.2	0
 47.33567	-002.30356	-032.7	0
 47.33568	-002.30278	-034.7	0
 47.33568	-002.30200	-038.0	0
 47.33568	-002.30122	-034.8	0
 47.33568	-002.30044	-039.1	0
 47.33568	-002.29966	-039.6	0
 47.33567	-002.29888	-037.0	0
 47.33567	-002.29810	-031.3	0
 47.33569	-002.29732	-031.9	0
 47.33568	-002.29654	-032.6	0
 47.33568	-002.29576	-032.4	0
 47.33568	-002.29498	-026.9	0
 47.33567	-002.29419	-029.6	0
 47.33568	-002.29341	-028.7	0
 47.33568	-002.29263	-023.8	0
 47.33568	-002.29185	-023.7	0
 47.33568	-002.29107	-027.9	0
 47.33568	-002.29029	-026.7	0
 47.33568	-002.28951	-029.7	0
 47.33568	-002.28873	-033.6	0
 47.33568	-002.28795	-037.3	0
 47.33567	-002.28717	-029.9	0
 47.33568	-002.28639	-022.8	0
 47.33569	-002.28561	-023.1	0
 47.33568	-002.28483	-024.5	0
 47.33568	-002.28405	-021.9	0
 47.33568	-002.28327	-022.5	0
 47.33568	-002.28249	-025.3	0
 47.33567	-002.28171	-025.9	0
 47.33567	-002.28093	-026.7	0
 47.33569	-002.28015	-027.4	0
 47.33568	-002.27937	-028.0	0
 47.33568	-002.27859	-025.5	0
 47.33567	-002.27781	-025.0	0
 47.33568	-002.27703	-028.7	0
 47.33568	-002.27625	-027.6	0
 47.33567	-002.27547	-027.4	0
 47.33568	-002.27469	-028.1	0
 47.33568	-002.27391	-025.5	0
 47.33568	-002.27313	-025.9	0
 47.33567	-002.27235	-026.0	0
 47.33568	-002.27157	-026.2	0
 47.33568	-002.27079	-027.0	0
 47.33567	-002.27001	-027.4	0
 47.33568	-002.26923	-027.6	0
 47.33568	-002.26845	-027.2	0
 47.33568	-002.26766	-025.7	0
 47.33567	-002.26688	-024.3	0
 47.33567	-002.26610	-023.7	0
 47.33568	-002.26532	-024.9	0
 47.33568	-002.26454	-025.2	0
 47.33568	-002.26376	-021.1	0
 47.33568	-002.26298	-025.2	0
 47.33568	-002.26220	-022.8	0
 47.33567	-002.26142	-022.2	0
 47.33567	-002.26064	-021.9	0
 47.33568	-002.25986	-021.9	0
 47.33568	-002.25908	-021.2	0
 47.33568	-002.25830	-022.2	0
 47.33568	-002.25752	-022.1	0
 47.33568	-002.25674	-021.8	0
 47.33568	-002.25596	-022.4	0
 47.33567	-002.25518	-022.4	0
 47.33568	-002.25440	-021.9	0
 47.33568	-002.25362	-020.8	0
 47.33568	-002.25284	-023.9	0
 47.33568	-002.25206	-025.0	0
 47.33568	-002.25128	-026.4	0
 47.33568	-002.25050	-026.3	0
 47.33568	-002.24972	-025.5	0
