time_s,node_id,x_m,y_m,z_m,initial_energy_J,remaining_energy_J,consumed_energy_J,sf
3600,0,0,0,35,10000,9999.492,0.508,7
3600,1,24.492,-51.9321,37.399,10000,9999.768,0.232,7
3600,2,48.9841,-103.8642,39.698,10000,9999.7,0.3,7
3600,3,73.4761,-155.7962,41.8971,10000,9999.238,0.762,7
3600,4,97.9681,-207.7283,43.9963,10000,9999.422,0.578,7
3600,5,122.4601,-259.6604,45.9954,10000,9999.238,0.762,7
3600,6,146.9522,-311.5925,47.8946,10000,9999.238,0.762,7
3600,7,171.4442,-363.5246,49.6939,10000,9999.285,0.715,7
3600,8,195.9362,-415.4566,51.3932,10000,9999.421,0.579,7
3600,9,220.4282,-467.3887,52.9925,10000,9999.238,0.762,7
3600,10,245.6358,-518.9486,54.4919,10000,9999.562,0.438,7
3600,11,274.0942,-568.8177,55.8913,10000,9999.238,0.762,7
3600,12,302.5525,-618.6867,57.1908,10000,9999.513,0.487,7
3600,13,331.0109,-668.5558,58.3903,10000,9999.376,0.624,7
3600,14,359.4693,-718.4248,59.4898,10000,9999.537,0.463,7
3600,15,387.9276,-768.2939,60.4894,10000,9999.377,0.623,7
3600,16,416.386,-818.1629,61.389,10000,9999.285,0.715,7
3600,17,444.8443,-868.032,62.1887,10000,9999.261,0.739,7
3600,18,473.3027,-917.901,62.8884,10000,9999.4,0.6,7
3600,19,501.7611,-967.77,63.4881,10000,9999.33,0.67,7
3600,20,530.2194,-1017.6391,63.9879,10000,9999.33,0.67,7
3600,21,558.6778,-1067.5081,64.3878,10000,9999.492,0.508,7
3600,22,587.1362,-1117.3772,64.6876,10000,9999.238,0.762,7
3600,23,609.7704,-1170.0712,64.8875,10000,9999.238,0.762,7
3600,24,631.3161,-1223.2932,64.9875,10000,9999.354,0.646,7
3600,25,652.8617,-1276.5153,64.9875,10000,9999.273,0.727,7
3600,26,674.4073,-1329.7373,64.8875,10000,9999.745,0.255,7
3600,27,695.9529,-1382.9594,64.6876,10000,9999.469,0.531,7
3600,28,717.4985,-1436.1814,64.3878,10000,9999.238,0.762,7
3600,29,739.0441,-1489.4035,63.9879,10000,9999.793,0.207,7
3600,30,760.5897,-1542.6255,63.4881,10000,9999.238,0.762,7
3600,31,782.1354,-1595.8476,62.8884,10000,9999.329,0.671,7
3600,32,803.681,-1649.0697,62.1887,10000,9999.722,0.278,7
3600,33,825.2266,-1702.2917,61.389,10000,9999.537,0.463,7
3600,34,846.7722,-1755.5138,60.4894,10000,9999.536,0.464,7
3600,35,868.3178,-1808.7358,59.4898,10000,9999.398,0.602,7
3600,36,889.8634,-1861.9579,58.3903,10000,9999.815,0.185,7
3600,37,903.8892,-1917.4903,57.1908,10000,9999.445,0.555,7
3600,38,915.9426,-1973.6286,55.8913,10000,9999.885,0.115,7
3600,39,927.9959,-2029.767,54.4919,10000,9999.885,0.115,7
3600,40,940.0493,-2085.9054,52.9925,10000,9999.238,0.762,7
3600,41,952.1027,-2142.0437,51.3932,10000,9999.885,0.115,7
3600,42,964.1561,-2198.1821,49.6939,10000,9999.583,0.417,7
3600,43,976.2095,-2254.3205,47.8946,10000,9999.354,0.646,7
3600,44,988.2628,-2310.4588,45.9954,10000,9999.238,0.762,7
3600,45,1000.3162,-2366.5972,43.9963,10000,9999.238,0.762,7
3600,46,1012.3696,-2422.7356,41.8971,10000,9999.237,0.763,7
3600,47,1024.423,-2478.8739,39.698,10000,9999.469,0.531,7
3600,48,1036.4764,-2535.0123,37.399,10000,9999.374,0.626,7
3600,49,1048.5297,-2591.1507,35,10000,9999.422,0.578,7
7200,0,0,0,35,10000,9999.144,0.856,7
7200,1,24.492,-51.9321,37.399,10000,9999.514,0.486,7
7200,2,48.9841,-103.8642,39.698,10000,9999.584,0.416,7
7200,3,73.4761,-155.7962,41.8971,10000,9998.477,1.523,7
7200,4,97.9681,-207.7283,43.9963,10000,9998.661,1.339,7
7200,5,122.4601,-259.6604,45.9954,10000,9998.477,1.523,7
7200,6,146.9522,-311.5925,47.8946,10000,9998.477,1.523,7
7200,7,171.4442,-363.5246,49.6939,10000,9998.523,1.477,7
7200,8,195.9362,-415.4566,51.3932,10000,9998.98,1.02,7
7200,9,220.4282,-467.3887,52.9925,10000,9998.477,1.523,7
7200,10,245.6358,-518.9486,54.4919,10000,9999.123,0.877,7
7200,11,274.0942,-568.8177,55.8913,10000,9998.477,1.523,7
7200,12,302.5525,-618.6867,57.1908,10000,9999.003,0.997,7
7200,13,331.0109,-668.5558,58.3903,10000,9998.729,1.271,7
7200,14,359.4693,-718.4248,59.4898,10000,9998.959,1.041,7
7200,15,387.9276,-768.2939,60.4894,10000,9998.661,1.339,7
7200,16,416.386,-818.1629,61.389,10000,9998.523,1.477,7
7200,17,444.8443,-868.032,62.1887,10000,9998.499,1.501,7
7200,18,473.3027,-917.901,62.8884,10000,9998.777,1.223,7
7200,19,501.7611,-967.77,63.4881,10000,9998.661,1.339,7
7200,20,530.2194,-1017.6391,63.9879,10000,9998.569,1.431,7
7200,21,558.6778,-1067.5081,64.3878,10000,9998.994,1.006,7
7200,22,587.1362,-1117.3772,64.6876,10000,9998.477,1.523,7
7200,23,609.7704,-1170.0712,64.8875,10000,9998.477,1.523,7
7200,24,631.3161,-1223.2932,64.9875,10000,9998.592,1.408,7
7200,25,652.8617,-1276.5153,64.9875,10000,9998.499,1.501,7
7200,26,674.4073,-1329.7373,64.8875,10000,9999.49,0.51,7
7200,27,695.9529,-1382.9594,64.6876,10000,9998.822,1.178,7
7200,28,717.4985,-1436.1814,64.3878,10000,9998.477,1.523,7
7200,29,739.0441,-1489.4035,63.9879,10000,9999.411,0.589,7
7200,30,760.5897,-1542.6255,63.4881,10000,9998.477,1.523,7
7200,31,782.1354,-1595.8476,62.8884,10000,9998.727,1.273,7
7200,32,803.681,-1649.0697,62.1887,10000,9999.607,0.393,7
7200,33,825.2266,-1702.2917,61.389,10000,9999.121,0.879,7
7200,34,846.7722,-1755.5138,60.4894,10000,9999.095,0.905,7
7200,35,868.3178,-1808.7358,59.4898,10000,9998.912,1.088,7
7200,36,889.8634,-1861.9579,58.3903,10000,9999.7,0.3,7
7200,37,903.8892,-1917.4903,57.1908,10000,9998.845,1.155,7
7200,38,915.9426,-1973.6286,55.8913,10000,9999.769,0.231,7
7200,39,927.9959,-2029.767,54.4919,10000,9999.769,0.231,7
7200,40,940.0493,-2085.9054,52.9925,10000,9998.477,1.523,7
7200,41,952.1027,-2142.0437,51.3932,10000,9999.608,0.392,7
7200,42,964.1561,-2198.1821,49.6939,10000,9999.166,0.834,7
7200,43,976.2095,-2254.3205,47.8946,10000,9998.822,1.178,7
7200,44,988.2628,-2310.4588,45.9954,10000,9998.477,1.523,7
7200,45,1000.3162,-2366.5972,43.9963,10000,9998.477,1.523,7
7200,46,1012.3696,-2422.7356,41.8971,10000,9998.475,1.525,7
7200,47,1024.423,-2478.8739,39.698,10000,9999.052,0.948,7
7200,48,1036.4764,-2535.0123,37.399,10000,9998.749,1.251,7
7200,49,1048.5297,-2591.1507,35,10000,9998.661,1.339,7
10800,0,0,0,35,10000,9998.474,1.526,7
10800,1,24.492,-51.9321,37.399,10000,9999.306,0.694,7
10800,2,48.9841,-103.8642,39.698,10000,9998.985,1.015,7
10800,3,73.4761,-155.7962,41.8971,10000,9997.715,2.285,7
10800,4,97.9681,-207.7283,43.9963,10000,9997.899,2.101,7
10800,5,122.4601,-259.6604,45.9954,10000,9997.854,2.146,7
10800,6,146.9522,-311.5925,47.8946,10000,9997.761,2.239,7
10800,7,171.4442,-363.5246,49.6939,10000,9997.762,2.238,7
10800,8,195.9362,-415.4566,51.3932,10000,9998.471,1.529,7
10800,9,220.4282,-467.3887,52.9925,10000,9997.715,2.285,7
10800,10,245.6358,-518.9486,54.4919,10000,9998.615,1.385,7
10800,11,274.0942,-568.8177,55.8913,10000,9997.715,2.285,7
10800,12,302.5525,-618.6867,57.1908,10000,9998.517,1.483,7
10800,13,331.0109,-668.5558,58.3903,10000,9998.106,1.894,7
10800,14,359.4693,-718.4248,59.4898,10000,9998.405,1.595,7
10800,15,387.9276,-768.2939,60.4894,10000,9998.037,1.963,7
